pope_name,wikipedia_article_link,chinese_zodiac_sign,birthdate,deathdate,sainthood_day,papacy_start_date,western_starsign,conservativeness_score_1000
Hormisdas,https://en.wikipedia.org/wiki/Pope_Hormisdas,,,,,,,
John I,https://en.wikipedia.org/wiki/Pope_John_I,,,,,,,
Felix IV,https://en.wikipedia.org/wiki/Pope_Felix_IV,,,,,,,
Boniface II,https://en.wikipedia.org/wiki/Pope_Boniface_II,,,,,,,
John II,https://en.wikipedia.org/wiki/Pope_John_II,,,,,,,
Agapetus I,https://en.wikipedia.org/wiki/Pope_Agapetus_I,,,,,,,
Silverius,https://en.wikipedia.org/wiki/Pope_Silverius,,,,,,,
Vigilius,https://en.wikipedia.org/wiki/Pope_Vigilius,,,,,,,
Pelagius I,https://en.wikipedia.org/wiki/Pope_Pelagius_I,,,,,,,
John III,https://en.wikipedia.org/wiki/Pope_John_III,,,,,,,
Benedict I,https://en.wikipedia.org/wiki/Pope_Benedict_I,,,,,,,
Pelagius II,https://en.wikipedia.org/wiki/Pope_Pelagius_II,,,,,,,
Gregory I,https://en.wikipedia.org/wiki/Pope_Gregory_I,,,,,,,
Sabinian,https://en.wikipedia.org/wiki/Pope_Sabinian,,,,,,,
Boniface III,https://en.wikipedia.org/wiki/Pope_Boniface_III,,,,,,,
Boniface IV,https://en.wikipedia.org/wiki/Pope_Boniface_IV,,,,,,,
Adeodatus I,https://en.wikipedia.org/wiki/Pope_Adeodatus_I,,,,,,,
Boniface V,https://en.wikipedia.org/wiki/Pope_Boniface_V,,,,,,,
Honorius I,https://en.wikipedia.org/wiki/Pope_Honorius_I,,,,,,,
Severinus,https://en.wikipedia.org/wiki/Pope_Severinus,,,,,,,
John IV,https://en.wikipedia.org/wiki/Pope_John_IV,,,,,,,
Theodore I,https://en.wikipedia.org/wiki/Pope_Theodore_I,,,,,,,
Martin I,https://en.wikipedia.org/wiki/Pope_Martin_I,,,,,,,
Eugene I,https://en.wikipedia.org/wiki/Pope_Eugene_I,,,,,,,
Vitalian,https://en.wikipedia.org/wiki/Pope_Vitalian,,,,,,,
Adeodatus II,https://en.wikipedia.org/wiki/Pope_Adeodatus_II,,,,,,,
Donus,https://en.wikipedia.org/wiki/Pope_Donus,,,,,,,
